Country,Year,Yield,Production
China,1961,20787,56217601
China,1962,23700,65675288
China,1963,26833,76439280
China,1964,28289,85853780
China,1965,29667,90705630
China,1966,31445,98403990
China,1967,31006,96734816
China,1968,31868,97716767
China,1969,31415,97998492
China,1970,34162,113101869
China,1971,33145,118129210
China,1972,32475,116428562
China,1973,34818,124584090
China,1974,35033,127010740
China,1975,35283,128726270
China,1976,34957,129231900
China,1977,36373,131917520
China,1978,39809,140023850
China,1979,42491,146846140
China,1980,41435,142876520
China,1981,43315,146959840
China,1982,48888,164741380
China,1983,50918,172008862
China,1984,53634,181095744
China,1985,52498,171318865
China,1986,53272,174720521
China,1987,54035,176662485
China,1988,52819,171441923
China,1989,55005,182485243
China,1990,57166,191614672
China,1991,56238,185692640
China,1992,57959,188291880
China,1993,58462,179746930
China,1994,58288,177994400
China,1995,60210,187297970
China,1996,62050,197032900
China,1997,63111,202771840
China,1998,63529,200571160
China,1999,63344,200403300
China,2000,62642,189814060
China,2001,61524,179304900
China,2002,61855,176342190
China,2003,60606,162304280
China,2004,63085,180522610
China,2005,62527,182055140
China,2006,62763,183276050
China,2007,64223,187397460
China,2008,65535,193284180
China,2009,65820,196681170
China,2010,65482,197212010
India,1961,15419,53494500
India,1962,13959,49825600
India,1963,15498,55497000
India,1964,16171,58962000
India,1965,12936,45883500
India,1966,12952,45657000
India,1967,15484,56418300
India,1968,16134,59641800
India,1969,16094,60644500
India,1970,16849,63337800
India,1971,17110,64602000
India,1972,16046,58868000
India,1973,17259,66077000
India,1974,15744,59650000
India,1975,18582,73352000
India,1976,16372,63051900
India,1977,19613,79005600
India,1978,19912,80608500
India,1979,16105,63475700
India,1980,20002,80312000
India,1981,19623,79883000
India,1982,18497,70771700
India,1983,21833,90048000
India,1984,21272,87552800
India,1985,23292,95817700
India,1986,22052,90779400
India,1987,21991,85338700
India,1988,25486,106369000
India,1989,26161,110311000
India,1990,26125,111517000
India,1991,26271,112042000
India,1992,26092,109001000
India,1993,28303,120400000
India,1994,28645,122640000
India,1995,26972,115440000
India,1996,28226,122500000
India,1997,28457,123700000
India,1998,28805,129055000
India,1999,29782,134496000
India,2000,28508,127465000
India,2001,31158,139900000
India,2002,26163,107730000
India,2003,31177,132789000
India,2004,29756,124697000
India,2005,31537,137690000
India,2006,31759,139137000
India,2007,32924,144570000
India,2008,34169,148770000
India,2009,31947,133700000
India,2010,32644,120620000
Indonesia,1961,17623,12084000
Indonesia,1962,17855,13004000
Indonesia,1963,17226,11595000
Indonesia,1964,17630,12306000
Indonesia,1965,17708,12975000
Indonesia,1966,17748,13650000
Indonesia,1967,17592,13222000
Indonesia,1968,21398,17162800
Indonesia,1969,22487,18020200
Indonesia,1970,23763,19331000
Indonesia,1971,24254,20190000
Indonesia,1972,24556,19393600
Indonesia,1973,25572,21489500
Indonesia,1974,26412,22473000
Indonesia,1975,26297,22339200
Indonesia,1976,27843,23300900
Indonesia,1977,27929,23347100
Indonesia,1978,28862,25771600
Indonesia,1979,29855,26282700
Indonesia,1980,32928,29651900
Indonesia,1981,34934,32774200
Indonesia,1982,37363,33583700
Indonesia,1983,38530,35303000
Indonesia,1984,39060,38136400
Indonesia,1985,39418,39032900
Indonesia,1986,39773,39726800
Indonesia,1987,40391,40078200
Indonesia,1988,41108,41676200
Indonesia,1989,42470,44725600
Indonesia,1990,43018,45178800
Indonesia,1991,43465,44688200
Indonesia,1992,43447,48240000
Indonesia,1993,43750,48181100
Indonesia,1994,43453,46641500
Indonesia,1995,43487,49744100
Indonesia,1996,44168,51101500
Indonesia,1997,44322,49377100
Indonesia,1998,41974,49236700
Indonesia,1999,42519,50866400
Indonesia,2000,44007,51898000
Indonesia,2001,43879,50460800
Indonesia,2002,44691,51489700
Indonesia,2003,45426,52137600
Indonesia,2004,45365,54088500
Indonesia,2005,45739,54151100
Indonesia,2006,46201,54454900
Indonesia,2007,47052,57157400
Indonesia,2008,48948,60251100
Indonesia,2009,49985,64398900
Indonesia,2010,50144,66411500
Japan,1961,48793,16160400
Japan,1962,51372,16927100
Japan,1963,50821,16648800
Japan,1964,50111,16356100
Japan,1965,49489,16126100
Japan,1966,50841,16564000
Japan,1967,57490,18782000
Japan,1968,57183,18779000
Japan,1969,55505,18200000
Japan,1970,56348,16493000
Japan,1971,52439,14148000
Japan,1972,58458,15450500
Japan,1973,60175,15778000
Japan,1974,58605,15964000
Japan,1975,61856,17097000
Japan,1976,55013,15288000
Japan,1977,61683,17006000
Japan,1978,61758,15736000
Japan,1979,59864,14948000
Japan,1980,51279,12189000
Japan,1981,56295,12824000
Japan,1982,56881,12838000
Japan,1983,57008,12958000
Japan,1984,64138,14848000
Japan,1985,62246,14578000
Japan,1986,63218,14559000
Japan,1987,61901,13284000
Japan,1988,58858,12419000
Japan,1989,61679,12934000
Japan,1990,63279,13124000
Japan,1991,58590,12005000
Japan,1992,62754,13216000
Japan,1993,45783,9793000
Japan,1994,67703,14976000
Japan,1995,63432,13435000
Japan,1996,65402,12930000
Japan,1997,64163,12531000
Japan,1998,62188,11200000
Japan,1999,64143,11468800
Japan,2000,67023,11863000
Japan,2001,66354,11320000
Japan,2002,65823,11111000
Japan,2003,58499,9740000
Japan,2004,64151,10912000
Japan,2005,66483,11342000
Japan,2006,63359,10695000
Japan,2007,65111,10893000
Japan,2008,67786,11028800
Japan,2009,65209,10590000
Japan,2010,65111,10600000
Korea,1961,41481,4679000
Korea,1962,35768,4074000
Korea,1963,43974,5079000
Korea,1964,44720,5344000
Korea,1965,39634,4867000
Korea,1966,44257,5448000
Korea,1967,40551,5008000
Korea,1968,38593,4442000
Korea,1969,46623,5688000
Korea,1970,45520,5476000
Korea,1971,46697,5557000
Korea,1972,46146,5496000
Korea,1973,49504,5850000
Korea,1974,51257,6174000
Korea,1975,53243,6485000
Korea,1976,59667,7249000
Korea,1977,67868,8348000
Korea,1978,69380,8532000
Korea,1979,63905,7880940
Korea,1980,43076,5311410
Korea,1981,58410,7148700
Korea,1982,61510,7307860
Korea,1983,61926,7607540
Korea,1984,64754,7970330
Korea,1985,63514,7855260
Korea,1986,63688,7871370
Korea,1987,60173,7595760
Korea,1988,65550,8260160
Korea,1989,64456,8099950
Korea,1990,62057,7721970
Korea,1991,60346,7292530
Korea,1992,63120,7303000
Korea,1993,57330,6507000
Korea,1994,62393,6882000
Korea,1995,60524,6387300
Korea,1996,67888,7121420
Korea,1997,69529,7312100
Korea,1998,64169,6779290
Korea,1999,65961,7032760
Korea,2000,67110,7196580
Korea,2001,68381,7406520
Korea,2002,63495,6687230
Korea,2003,59201,6015000
Korea,2004,67291,6736930
Korea,2005,65682,6435000
Korea,2006,67114,6410950
Korea,2007,63541,6038000
Korea,2008,73942,6919250
Korea,2009,75967,7022970
Korea,2010,65062,5804000
Malaysia,1961,21086,1089080
Malaysia,1962,20678,1125340
Malaysia,1963,21525,1190210
Malaysia,1964,19968,1109780
Malaysia,1965,21578,1255610
Malaysia,1966,21408,1226680
Malaysia,1967,20165,1205070
Malaysia,1968,21714,1433950
Malaysia,1969,23246,1590600
Malaysia,1970,23858,1681420
Malaysia,1971,24736,1816920
Malaysia,1972,23980,1837320
Malaysia,1973,26342,1979940
Malaysia,1974,28311,2095000
Malaysia,1975,26615,1997000
Malaysia,1976,27217,1995000
Malaysia,1977,26252,1898000
Malaysia,1978,25695,1498000
Malaysia,1979,28388,2095000
Malaysia,1980,28524,2044600
Malaysia,1981,28409,2019900
Malaysia,1982,27619,1883600
Malaysia,1983,26041,1734330
Malaysia,1984,25187,1571670
Malaysia,1985,26648,1745370
Malaysia,1986,26399,1718220
Malaysia,1987,24686,1626700
Malaysia,1988,25251,1696240
Malaysia,1989,26251,1743440
Malaysia,1990,27694,1884980
Malaysia,1991,28178,1926350
Malaysia,1992,29918,2012730
Malaysia,1993,30348,2104450
Malaysia,1994,30614,2138790
Malaysia,1995,31619,2127270
Malaysia,1996,32510,2228490
Malaysia,1997,30676,2119620
Malaysia,1998,28829,1944240
Malaysia,1999,29415,2036640
Malaysia,2000,30640,2140800
Malaysia,2001,31102,2095000
Malaysia,2002,32385,2197350
Malaysia,2003,33596,2257000
Malaysia,2004,33260,2264000
Malaysia,2005,34221,2314000
Malaysia,2006,33907,2187000
Malaysia,2007,35277,2375000
Malaysia,2008,35836,2353000
Malaysia,2009,36591,2460000
Malaysia,2010,37818,2548000
Myanmar,1961,16066,6834100
Myanmar,1962,16469,7664700
Myanmar,1963,15957,7782900
Myanmar,1964,17097,8507700
Myanmar,1965,16614,8055100
Myanmar,1966,14694,6636400
Myanmar,1967,16510,7769400
Myanmar,1968,16843,8022900
Myanmar,1969,17092,7984700
Myanmar,1970,16973,8161900
Myanmar,1971,17161,8175000
Myanmar,1972,16247,7356800
Myanmar,1973,17629,8601900
Myanmar,1974,17574,8583400
Myanmar,1975,18307,9207700
Myanmar,1976,18974,9319300
Myanmar,1977,19453,9462000
Myanmar,1978,21012,10528300
Myanmar,1979,23521,10447900
Myanmar,1980,27739,13317400
Myanmar,1981,29419,14146600
Myanmar,1982,31505,14373400
Myanmar,1983,30666,14288100
Myanmar,1984,30981,14255500
Myanmar,1985,30718,14317000
Myanmar,1986,30279,14127100
Myanmar,1987,30424,13638400
Myanmar,1988,29084,13167100
Myanmar,1989,29174,13806500
Myanmar,1990,29353,13971800
Myanmar,1991,28862,13204200
Myanmar,1992,29351,14840400
Myanmar,1993,30552,16763200
Myanmar,1994,31690,18198900
Myanmar,1995,29766,17956900
Myanmar,1996,30649,17679800
Myanmar,1997,30789,16651400
Myanmar,1998,31286,17077700
Myanmar,1999,32405,20126000
Myanmar,2000,33834,21323900
Myanmar,2001,34177,21916000
Myanmar,2002,34172,21805000
Myanmar,2003,35457,23146300
Myanmar,2004,38175,24939000
Myanmar,2005,37491,27683000
Myanmar,2006,38301,30924000
Myanmar,2007,39260,31451000
Myanmar,2008,40323,32573000
Myanmar,2009,40853,32682000
Myanmar,2010,41239,33204500
Philippines,1961,12299,3910100
Philippines,1962,12548,3966980
Philippines,1963,12447,3842860
Philippines,1964,12478,3992400
Philippines,1965,13099,4072640
Philippines,1966,13223,4094020
Philippines,1967,13804,4560700
Philippines,1968,13339,4444660
Philippines,1969,17098,5464080
Philippines,1970,17460,5578410
Philippines,1971,15980,5324880
Philippines,1972,14431,4609510
Philippines,1973,14624,5158900
Philippines,1974,15458,5615270
Philippines,1975,16636,6112040
Philippines,1976,17967,6542610
Philippines,1977,20142,7254390
Philippines,1978,20253,7211620
Philippines,1979,21131,7684800
Philippines,1980,22105,7646490
Philippines,1981,22977,7910740
Philippines,1982,26342,8533730
Philippines,1983,23227,7294910
Philippines,1984,24300,7828880
Philippines,1985,25879,8805600
Philippines,1986,27173,9246790
Philippines,1987,26229,8539850
Philippines,1988,26442,8970920
Philippines,1989,27046,9458770
Philippines,1990,29786,9885000
Philippines,1991,28243,9673260
Philippines,1992,29388,9513000
Philippines,1993,28742,9434210
Philippines,1994,28866,10540600
Philippines,1995,28043,10540600
Philippines,1996,28558,11283600
Philippines,1997,29326,11268000
Philippines,1998,26984,8554000
Philippines,1999,29468,11786600
Philippines,2000,30681,12389400
Philippines,2001,31866,12954900
Philippines,2002,32797,13270700
Philippines,2003,33696,13499900
Philippines,2004,35130,14496800
Philippines,2005,35876,14603000
Philippines,2006,36844,15326700
Philippines,2007,38008,16240200
Philippines,2008,37703,16815500
Philippines,2009,35890,16266400
Philippines,2010,36222,15771700
SriLanka,1961,18626,923024
SriLanka,1962,19539,1029190
SriLanka,1963,19547,1045910
SriLanka,1964,19962,1074050
SriLanka,1965,17696,764158
SriLanka,1966,18365,980746
SriLanka,1967,21259,1158150
SriLanka,1968,23968,1359540
SriLanka,1969,25654,1375960
SriLanka,1970,22485,1615930
SriLanka,1971,20119,1395780
SriLanka,1972,20540,1312450
SriLanka,1973,19539,1312420
SriLanka,1974,20104,1602310
SriLanka,1975,19325,1154160
SriLanka,1976,19712,1252620
SriLanka,1977,21441,1677290
SriLanka,1978,22521,1890490
SriLanka,1979,24282,1917220
SriLanka,1980,25897,2133200
SriLanka,1981,26462,2229350
SriLanka,1982,28896,2155630
SriLanka,1983,31977,2483530
SriLanka,1984,27316,2419700
SriLanka,1985,30777,2661210
SriLanka,1986,30944,2588180
SriLanka,1987,31318,2127830
SriLanka,1988,30367,2476610
SriLanka,1989,29916,2063440
SriLanka,1990,30643,2538000
SriLanka,1991,30215,2389000
SriLanka,1992,30544,2339700
SriLanka,1993,31350,2570000
SriLanka,1994,29933,2683690
SriLanka,1995,31586,2809890
SriLanka,1996,31231,2061520
SriLanka,1997,32451,2239370
SriLanka,1998,35102,2692340
SriLanka,1999,32810,2857100
SriLanka,2000,34374,2859900
SriLanka,2001,35228,2695080
SriLanka,2002,34889,2859480
SriLanka,2003,33696,3071200
SriLanka,2004,36516,2628000
SriLanka,2005,35465,3246000
SriLanka,2006,36705,3342000
SriLanka,2007,38337,3131000
SriLanka,2008,36800,3875000
SriLanka,2009,37374,3652000
SriLanka,2010,40558,4300620
Thailand,1961,16585,10150000
Thailand,1962,17202,11250000
Thailand,1963,18725,12171000
Thailand,1964,18384,11600000
Thailand,1965,17805,11164000
Thailand,1966,18360,13500000
Thailand,1967,17497,11198000
Thailand,1968,17882,12410000
Thailand,1969,18474,13410000
Thailand,1970,20207,13850000
Thailand,1971,19369,13744000
Thailand,1972,18308,12413000
Thailand,1973,19242,14899000
Thailand,1974,18254,13386000
Thailand,1975,18308,15300000
Thailand,1976,18450,15068000
Thailand,1977,15910,13921000
Thailand,1978,19552,17470000
Thailand,1979,18209,15758000
Thailand,1980,18878,17368100
Thailand,1981,19521,17774300
Thailand,1982,18880,16878500
Thailand,1983,20351,19548900
Thailand,1984,20670,19904800
Thailand,1985,20608,20263900
Thailand,1986,20522,18868200
Thailand,1987,20147,18428300
Thailand,1988,21465,21262900
Thailand,1989,20853,20601000
Thailand,1990,19556,17193200
Thailand,1991,22534,20400000
Thailand,1992,21744,19917000
Thailand,1993,21700,19530000
Thailand,1994,23521,21111000
Thailand,1995,24158,22015500
Thailand,1996,24097,22331600
Thailand,1997,23787,23580000
Thailand,1998,24654,23450000
Thailand,1999,24245,24172000
Thailand,2000,26128,25843900
Thailand,2001,27687,28033700
Thailand,2002,28996,27991800
Thailand,2003,28998,29473500
Thailand,2004,28559,28538200
Thailand,2005,29625,30291900
Thailand,2006,29160,29641900
Thailand,2007,30087,32099400
Thailand,2008,29626,31650600
Thailand,2009,28826,32116100
Thailand,2010,28751,31597200
VietNam,1961,18966,8997400
VietNam,1962,19937,9747040
VietNam,1963,21400,9622670
VietNam,1964,19442,9697030
VietNam,1965,19414,9369700
VietNam,1966,18079,8463500
VietNam,1967,19159,9188400
VietNam,1968,17095,8366150
VietNam,1969,17880,8815000
VietNam,1970,21534,10173300
VietNam,1971,22265,10447000
VietNam,1972,21935,10748200
VietNam,1973,22117,11125000
VietNam,1974,21564,11023300
VietNam,1975,21198,10293600
VietNam,1976,22327,11827200
VietNam,1977,19378,10597100
VietNam,1978,17922,9789900
VietNam,1979,20716,11362900
VietNam,1980,20798,11647400
VietNam,1981,21966,12415200
VietNam,1982,25194,14390200
VietNam,1983,26272,14743300
VietNam,1984,27323,15505600
VietNam,1985,27761,15874800
VietNam,1986,28060,16002900
VietNam,1987,26954,15102600
VietNam,1988,29613,17000000
VietNam,1989,32136,18996300
VietNam,1990,31815,19225100
VietNam,1991,31133,19621900
VietNam,1992,33342,21590300
VietNam,1993,34815,22836600
VietNam,1994,35657,23528300
VietNam,1995,36898,24963700
VietNam,1996,37689,26396700
VietNam,1997,38768,27523900
VietNam,1998,39585,29145500
VietNam,1999,41018,31393800
VietNam,2000,42432,32529500
VietNam,2001,42853,32108400
VietNam,2002,45903,34447200
VietNam,2003,46387,34568800
VietNam,2004,48553,36148900
VietNam,2005,48891,35832900
VietNam,2006,48943,35849500
VietNam,2007,49869,35942700
VietNam,2008,52336,38729800
VietNam,2009,52372,38950200
VietNam,2010,53221,39988900
